"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 18 04:09:47 UTC 2023","Sat Nov 18 04:09:48 UTC 2023","307","","20. Admin Portal - Check details","","","","3. Check panels existence",""
"passed","Sat Nov 18 03:23:41 UTC 2023","Sat Nov 18 03:24:06 UTC 2023","25727","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"passed","Sat Nov 18 02:28:20 UTC 2023","Sat Nov 18 02:28:25 UTC 2023","4282","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","11. Scrape results from Review and navigate to Applicants",""
"passed","Sat Nov 18 03:23:17 UTC 2023","Sat Nov 18 03:23:29 UTC 2023","12247","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"passed","Sat Nov 18 02:46:47 UTC 2023","Sat Nov 18 02:47:03 UTC 2023","15988","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Sat Nov 18 02:37:12 UTC 2023","Sat Nov 18 02:37:32 UTC 2023","20215","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Sat Nov 18 03:56:29 UTC 2023","Sat Nov 18 03:56:30 UTC 2023","1461","","16. Nucleus Wealth Wordpress Site","","","","10. Check wordpress image uploaded date",""
"passed","Sat Nov 18 04:31:50 UTC 2023","Sat Nov 18 04:31:55 UTC 2023","4683","","22. Individual Onboarding for Interactive Brokers","","","","10. Complete Bank Details",""
"passed","Sat Nov 18 02:32:47 UTC 2023","Sat Nov 18 02:32:56 UTC 2023","9061","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","2. Create new Personal Super Account",""
"passed","Sat Nov 18 04:59:27 UTC 2023","Sat Nov 18 04:59:29 UTC 2023","2588","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
"passed","Sat Nov 18 02:52:33 UTC 2023","Sat Nov 18 02:53:41 UTC 2023","67820","","8. Sign Up new user","","","","1. Create a new user",""
"passed","Sat Nov 18 04:32:02 UTC 2023","Sat Nov 18 04:32:03 UTC 2023","1694","","22. Individual Onboarding for Interactive Brokers","","","","12. Check Final Review",""
"passed","Sat Nov 18 02:44:52 UTC 2023","Sat Nov 18 02:44:55 UTC 2023","3026","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","13. Review Final Review",""
"passed","Sat Nov 18 02:37:01 UTC 2023","Sat Nov 18 02:37:08 UTC 2023","6917","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","2. Create a SMSF Account",""
"passed","Sat Nov 18 02:25:28 UTC 2023","Sat Nov 18 02:25:47 UTC 2023","18346","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Sat Nov 18 02:50:23 UTC 2023","Sat Nov 18 02:50:28 UTC 2023","4905","","6. Company Account","","","","5. Complete Screen and tilts",""
"passed","Sat Nov 18 03:50:40 UTC 2023","Sat Nov 18 03:50:42 UTC 2023","1634","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"passed","Sat Nov 18 04:00:31 UTC 2023","Sat Nov 18 04:00:45 UTC 2023","13446","","18. Check Admin header","","","","1. Log in using manager login",""
"failed","Sat Nov 18 04:32:03 UTC 2023","Sat Nov 18 04:35:14 UTC 2023","191065","","22. Individual Onboarding for Interactive Brokers","","","","13. Limited Advice Path",""
"passed","Sat Nov 18 04:09:41 UTC 2023","Sat Nov 18 04:09:47 UTC 2023","6139","","20. Admin Portal - Check details","","","","2. Account ID 445 detail page",""
"passed","Sat Nov 18 02:43:54 UTC 2023","Sat Nov 18 02:43:58 UTC 2023","3874","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Sat Nov 18 02:29:09 UTC 2023","Sat Nov 18 02:29:27 UTC 2023","18538","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","12. Complete Applicants",""
"passed","Sat Nov 18 02:50:52 UTC 2023","Sat Nov 18 02:50:53 UTC 2023","390","","6. Company Account","","","","9. Review Final Review",""
"passed","Sat Nov 18 02:26:56 UTC 2023","Sat Nov 18 02:27:05 UTC 2023","8578","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","7. Complete Screen and Tilts",""
"passed","Sat Nov 18 02:26:10 UTC 2023","Sat Nov 18 02:26:33 UTC 2023","23742","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","5. Navigate to Build Your Portfolio from Investment Choice",""
"passed","Sat Nov 18 04:00:45 UTC 2023","Sat Nov 18 04:04:57 UTC 2023","252561","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Sat Nov 18 03:26:28 UTC 2023","Sat Nov 18 03:26:43 UTC 2023","15594","","11. Client Portal - Administration","","","","1. Direct user to “Administration” page",""
"passed","Sat Nov 18 03:28:44 UTC 2023","Sat Nov 18 03:28:45 UTC 2023","1399","","12. Client Portal - Forms","","","","2. Check Form Page",""
"passed","Sat Nov 18 02:38:51 UTC 2023","Sat Nov 18 02:38:53 UTC 2023","1985","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Sat Nov 18 02:50:41 UTC 2023","Sat Nov 18 02:50:50 UTC 2023","9235","","6. Company Account","","","","7. Complete In Company Details",""
"passed","Sat Nov 18 03:56:00 UTC 2023","Sat Nov 18 03:56:01 UTC 2023","1867","","16. Nucleus Wealth Wordpress Site","","","","6. Visit Resources",""
"passed","Sat Nov 18 02:41:15 UTC 2023","Sat Nov 18 02:41:35 UTC 2023","19970","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Sat Nov 18 02:41:35 UTC 2023","Sat Nov 18 02:41:43 UTC 2023","8032","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Sat Nov 18 02:47:16 UTC 2023","Sat Nov 18 02:47:26 UTC 2023","10591","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","4. Complete Build Your Portfolio",""
"passed","Sat Nov 18 04:09:59 UTC 2023","Sat Nov 18 04:10:00 UTC 2023","940","","20. Admin Portal - Check details","","","","6. Check Account Settings & History (Data Snapshots)",""
"passed","Sat Nov 18 02:27:31 UTC 2023","Sat Nov 18 02:27:56 UTC 2023","25345","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","10. Complete Risk Profile and navigate to Review",""
"passed","Sat Nov 18 02:41:10 UTC 2023","Sat Nov 18 02:41:15 UTC 2023","5231","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Sat Nov 18 04:07:11 UTC 2023","Sat Nov 18 04:07:38 UTC 2023","27198","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"passed","Sat Nov 18 04:10:00 UTC 2023","Sat Nov 18 04:10:01 UTC 2023","919","","20. Admin Portal - Check details","","","","7. Check Current Settings",""
"passed","Sat Nov 18 02:42:54 UTC 2023","Sat Nov 18 02:43:48 UTC 2023","53362","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","7. Complete Applicants",""
"passed","Sat Nov 18 02:48:06 UTC 2023","Sat Nov 18 02:48:10 UTC 2023","3807","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Sat Nov 18 02:37:08 UTC 2023","Sat Nov 18 02:37:12 UTC 2023","4079","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Sat Nov 18 02:29:27 UTC 2023","Sat Nov 18 02:29:32 UTC 2023","4674","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","13. Complete Bank Details",""
"passed","Sat Nov 18 02:55:28 UTC 2023","Sat Nov 18 02:55:42 UTC 2023","14447","","9. Client Portal - Home","","","","1. Check links",""
"passed","Sat Nov 18 02:27:05 UTC 2023","Sat Nov 18 02:27:21 UTC 2023","16124","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","8. Review Review Page",""
"passed","Sat Nov 18 04:30:04 UTC 2023","Sat Nov 18 04:30:07 UTC 2023","3551","","22. Individual Onboarding for Interactive Brokers","","","","6. Complete Build Your Portfolio",""
"passed","Sat Nov 18 02:47:10 UTC 2023","Sat Nov 18 02:47:16 UTC 2023","5582","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"skipped","Sat Nov 18 02:26:10 UTC 2023","Sat Nov 18 02:26:10 UTC 2023","2","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","4. Check Help Modal in Investment Choice",""
"passed","Sat Nov 18 02:50:39 UTC 2023","Sat Nov 18 02:50:41 UTC 2023","1451","","6. Company Account","","","","6. Review Review Page",""
"passed","Sat Nov 18 02:47:41 UTC 2023","Sat Nov 18 02:47:45 UTC 2023","3071","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Sat Nov 18 04:30:34 UTC 2023","Sat Nov 18 04:30:39 UTC 2023","4468","","22. Individual Onboarding for Interactive Brokers","","","","8. Check Review Page",""
"passed","Sat Nov 18 03:26:43 UTC 2023","Sat Nov 18 03:26:45 UTC 2023","1816","","11. Client Portal - Administration","","","","2. Check Administration Page",""
"passed","Sat Nov 18 04:30:39 UTC 2023","Sat Nov 18 04:31:50 UTC 2023","71077","","22. Individual Onboarding for Interactive Brokers","","","","9. Complete Applicants",""
"passed","Sat Nov 18 02:47:26 UTC 2023","Sat Nov 18 02:47:30 UTC 2023","3242","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Sat Nov 18 04:07:48 UTC 2023","Sat Nov 18 04:07:50 UTC 2023","2382","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
"passed","Sat Nov 18 02:50:07 UTC 2023","Sat Nov 18 02:50:12 UTC 2023","5584","","6. Company Account","","","","3. Complete Investment Choice",""
"passed","Sat Nov 18 03:50:11 UTC 2023","Sat Nov 18 03:50:13 UTC 2023","1714","","13. Client Portal - Change Portfolio","","","","2. Direct user to “Investment Choice”",""
"passed","Sat Nov 18 04:09:48 UTC 2023","Sat Nov 18 04:09:56 UTC 2023","8481","","20. Admin Portal - Check details","","","","4. Direct to Account’s client portal",""
"passed","Sat Nov 18 04:07:38 UTC 2023","Sat Nov 18 04:07:48 UTC 2023","9647","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"passed","Sat Nov 18 02:29:32 UTC 2023","Sat Nov 18 02:30:28 UTC 2023","56327","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","14. Complete Final Review",""
